State FIPS Code,Premature Death Black,Premature Death White,FIPS Code
13,12927.171918,13683.52234,13165
13,15622.769721,13474.006919,13167
13,8501.1490226,9739.9917427,13169
13,13528.84506,13042.224795,13171
13,11903.040902,10297.111143,13173
13,18222.342409,13643.314342,13175
13,9254.1662059,9110.7077432,13177
13,13648.701251,13591.595811,13179
13,16502.035684,10444.21814,13181
13,11010.841626,10188.888353,13183
13,15376.427359,9514.6364895,13185
13,,10595.830337,13187
13,15309.330502,13412.979684,13189
13,15187.89948,13305.327012,13191
13,14711.563251,10901.511462,13193
13,12773.429543,10843.959529,13195
13,12332.012996,13593.530974,13197
13,19167.320184,13854.024238,13199
13,31551.265667,19732.582587,13201
13,14167.189285,11565.791359,13205
13,15012.107296,10045.270756,13207
13,12129.397041,14545.582513,13209
13,13783.4092,9017.0984956,13211
13,,14281.184363,13213
13,15958.524081,12447.828678,13215
13,10724.117263,10724.909758,13217
13,10267.65772,5946.1679536,13219
13,9451.3670994,9432.315848,13221
13,7519.0351629,8253.3615711,13223
13,14247.312585,14615.448882,13225
13,,10707.792899,13227
13,19399.251388,13260.289139,13229
13,15001.240922,11071.203025,13231
13,22097.079599,13893.191581,13233
13,13640.391939,9598.9981436,13235
13,13814.696486,12467.111836,13237
13,14835.671413,15867.80106,13239
13,,13046.427546,13241
13,20348.341796,13006.19846,13243
13,15433.588544,13860.617591,13245
13,8894.9327023,14669.026832,13247
13,18458.645208,10776.97543,13249
13,16639.753205,13919.783116,13251
13,17510.911068,12018.518242,13253
13,16393.210452,13794.432255,13255
13,15546.508643,13397.840186,13257
13,21684.002485,17994.411888,13259
13,16460.336807,9451.4541826,13261
13,14295.864797,14786.403743,13263
13,,14932.329089,13265
13,11761.082933,12481.641413,13267
13,11645.124768,12768.649546,13269
13,19031.470829,14685.607411,13271
13,20304.003128,9480.8840394,13273
13,18021.688305,9410.7052615,13275
13,17302.641597,11270.923628,13277
13,17437.783211,13551.376795,13279
13,,10505.960989,13281
13,14422.680149,15696.743649,13283
13,13634.328174,12522.012289,13285
13,16683.367535,10710.816124,13287
13,15709.358431,15829.160881,13289
13,,8944.1896791,13291
13,16420.442751,12702.24964,13293
13,15564.690278,12074.532824,13295
13,13459.011742,9154.6952548,13297
13,16293.181833,15552.669697,13299
13,16095.243355,13210.679046,13301
13,15244.296708,11511.744711,13303
13,18371.480466,13383.443907,13305
13,27281.028676,9932.7743282,13307
13,9059.0100348,9350.2865771,13309
13,,11498.632213,13311
13,15974.867131,12647.339029,13313
13,16337.468743,13736.954404,13315
13,21109.707211,10589.661949,13317
13,14555.672995,16119.850566,13319
13,14898.957004,12830.584303,13321
15,5152.8046938,5410.7073078,15000
15,6556.1768063,6856.9147953,15001
15,4979.8664753,4918.9266968,15003
15,,,15005
15,,4744.5518241,15007
15,,6401.7349386,15009
16,9904.1736136,7212.5349962,16000
16,11960.639398,5853.8082417,16001
16,,10550.668402,16003
16,,8672.8215856,16005
16,,7072.215358,16007
